cliente_id,prob_churn,risco_pct,tenure,monthly,senior,contrato,sem_papel,parceiro,dependentes,fibra,tier,receita_risco,acao
CLI-01327,0.9427,94.3,2,84.05,1,Month-to-month,1,0,0,1,Crítico,79.233935,🚨 Contato urgente — oferta de retenção personalizada
CLI-00732,0.942,94.2,1,95.85,0,Month-to-month,1,0,0,1,Crítico,90.29069999999999,🚨 Contato urgente — oferta de retenção personalizada
CLI-05167,0.9403,94.0,1,70.2,1,Month-to-month,1,0,0,1,Crítico,66.00906,🚨 Contato urgente — oferta de retenção personalizada
CLI-02467,0.9384,93.8,1,94.4,0,Month-to-month,0,0,0,1,Crítico,88.58496000000001,🚨 Contato urgente — oferta de retenção personalizada
CLI-00646,0.9367,93.7,1,69.55,1,Month-to-month,1,1,0,1,Crítico,65.14748499999999,🚨 Contato urgente — oferta de retenção personalizada
CLI-04084,0.9362,93.6,1,89.25,0,Month-to-month,1,0,0,1,Crítico,83.55585,🚨 Contato urgente — oferta de retenção personalizada
CLI-04019,0.9355,93.6,1,80.55,0,Month-to-month,1,0,0,1,Crítico,75.354525,🚨 Contato urgente — oferta de retenção personalizada
CLI-02605,0.9338,93.4,1,84.6,0,Month-to-month,1,0,0,1,Crítico,78.99947999999999,🚨 Contato urgente — oferta de retenção personalizada
CLI-02357,0.9337,93.4,10,100.6,0,Month-to-month,1,0,0,1,Crítico,93.93021999999999,🚨 Contato urgente — oferta de retenção personalizada
CLI-02744,0.9285,92.9,3,94.85,1,Month-to-month,1,0,0,1,Crítico,88.068225,🚨 Contato urgente — oferta de retenção personalizada
CLI-05166,0.9274,92.7,1,70.05,1,Month-to-month,1,0,0,1,Crítico,64.96437,🚨 Contato urgente — oferta de retenção personalizada
CLI-02063,0.9249,92.5,1,71.25,1,Month-to-month,1,0,0,1,Crítico,65.899125,🚨 Contato urgente — oferta de retenção personalizada
CLI-02677,0.9243,92.4,1,75.55,0,Month-to-month,0,0,0,1,Crítico,69.830865,🚨 Contato urgente — oferta de retenção personalizada
CLI-04411,0.9209,92.1,7,94.1,0,Month-to-month,1,0,0,1,Crítico,86.65669,🚨 Contato urgente — oferta de retenção personalizada
CLI-02254,0.9201,92.0,1,89.35,0,Month-to-month,1,0,1,1,Crítico,82.21093499999999,🚨 Contato urgente — oferta de retenção personalizada
CLI-03495,0.9187,91.9,1,70.3,1,Month-to-month,1,1,0,1,Crítico,64.58461,🚨 Contato urgente — oferta de retenção personalizada
CLI-00847,0.9187,91.9,1,70.25,0,Month-to-month,1,0,0,1,Crítico,64.538675,🚨 Contato urgente — oferta de retenção personalizada
CLI-04636,0.9184,91.8,6,90.75,0,Month-to-month,1,1,0,1,Crítico,83.3448,🚨 Contato urgente — oferta de retenção personalizada
CLI-00841,0.9183,91.8,1,85.0,0,Month-to-month,1,0,0,1,Crítico,78.0555,🚨 Contato urgente — oferta de retenção personalizada
CLI-01829,0.917,91.7,6,89.75,0,Month-to-month,1,0,0,1,Crítico,82.30075000000001,🚨 Contato urgente — oferta de retenção personalizada
CLI-01176,0.9169,91.7,1,70.1,0,Month-to-month,0,0,0,1,Crítico,64.27468999999999,🚨 Contato urgente — oferta de retenção personalizada
CLI-00268,0.9165,91.6,1,24.8,1,Month-to-month,1,1,0,0,Crítico,22.7292,🚨 Contato urgente — oferta de retenção personalizada
CLI-03340,0.9162,91.6,1,35.45,0,Month-to-month,1,0,0,0,Crítico,32.479290000000006,🚨 Contato urgente — oferta de retenção personalizada
CLI-03427,0.9159,91.6,1,69.8,0,Month-to-month,1,0,0,1,Crítico,63.92982,🚨 Contato urgente — oferta de retenção personalizada
CLI-01807,0.9153,91.5,2,79.45,0,Month-to-month,1,0,0,1,Crítico,72.720585,🚨 Contato urgente — oferta de retenção personalizada
CLI-02969,0.9142,91.4,1,69.9,0,Month-to-month,1,0,0,1,Crítico,63.90258000000001,🚨 Contato urgente — oferta de retenção personalizada
CLI-01846,0.9139,91.4,2,84.05,0,Month-to-month,1,1,0,1,Crítico,76.813295,🚨 Contato urgente — oferta de retenção personalizada
CLI-02573,0.9133,91.3,6,89.35,1,Month-to-month,1,0,0,1,Crítico,81.603355,🚨 Contato urgente — oferta de retenção personalizada
CLI-05314,0.9125,91.2,1,74.35,0,Month-to-month,0,0,0,1,Crítico,67.844375,🚨 Contato urgente — oferta de retenção personalizada
CLI-02188,0.9111,91.1,7,89.15,1,Month-to-month,1,0,0,1,Crítico,81.22456500000001,🚨 Contato urgente — oferta de retenção personalizada
CLI-03436,0.9109,91.1,2,83.8,1,Month-to-month,1,0,0,1,Crítico,76.33342,🚨 Contato urgente — oferta de retenção personalizada
CLI-02613,0.9088,90.9,2,95.5,1,Month-to-month,1,1,0,1,Crítico,86.7904,🚨 Contato urgente — oferta de retenção personalizada
CLI-03372,0.9082,90.8,1,85.0,0,Month-to-month,1,0,0,1,Crítico,77.197,🚨 Contato urgente — oferta de retenção personalizada
CLI-00083,0.9081,90.8,7,89.0,1,Month-to-month,1,1,0,1,Crítico,80.8209,🚨 Contato urgente — oferta de retenção personalizada
CLI-04729,0.9064,90.6,1,74.3,1,Month-to-month,0,1,0,1,Crítico,67.34552,🚨 Contato urgente — oferta de retenção personalizada
CLI-00768,0.9058,90.6,1,75.1,0,Month-to-month,1,0,0,1,Crítico,68.02558,🚨 Contato urgente — oferta de retenção personalizada
CLI-00273,0.9057,90.6,6,93.55,0,Month-to-month,1,0,0,1,Crítico,84.728235,🚨 Contato urgente — oferta de retenção personalizada
CLI-03230,0.9044,90.4,1,74.2,1,Month-to-month,1,0,0,1,Crítico,67.10648,🚨 Contato urgente — oferta de retenção personalizada
CLI-02243,0.9033,90.3,2,79.95,0,Month-to-month,1,0,0,1,Crítico,72.218835,🚨 Contato urgente — oferta de retenção personalizada
CLI-01031,0.9017,90.2,1,81.05,0,Month-to-month,1,1,1,1,Crítico,73.08278499999999,🚨 Contato urgente — oferta de retenção personalizada
CLI-01805,0.9011,90.1,2,79.55,0,Month-to-month,0,0,0,1,Crítico,71.68250499999999,🚨 Contato urgente — oferta de retenção personalizada
CLI-02020,0.9011,90.1,7,86.5,0,Month-to-month,1,1,0,1,Crítico,77.94515,🚨 Contato urgente — oferta de retenção personalizada
CLI-01567,0.901,90.1,3,95.4,0,Month-to-month,0,0,0,1,Crítico,85.95540000000001,🚨 Contato urgente — oferta de retenção personalizada
CLI-04340,0.9002,90.0,6,89.25,0,Month-to-month,1,0,0,1,Crítico,80.34285,🚨 Contato urgente — oferta de retenção personalizada
CLI-04900,0.8982,89.8,15,100.15,0,Month-to-month,1,0,0,1,Crítico,89.95473,🚨 Contato urgente — oferta de retenção personalizada
CLI-03998,0.898,89.8,3,94.9,0,Month-to-month,0,1,0,1,Crítico,85.2202,🚨 Contato urgente — oferta de retenção personalizada
CLI-01265,0.8974,89.7,1,74.7,1,Month-to-month,0,0,0,1,Crítico,67.03578,🚨 Contato urgente — oferta de retenção personalizada
CLI-05287,0.8967,89.7,2,69.3,1,Month-to-month,1,1,0,1,Crítico,62.141310000000004,🚨 Contato urgente — oferta de retenção personalizada
CLI-01072,0.8959,89.6,3,107.95,0,Month-to-month,1,0,0,1,Crítico,96.712405,🚨 Contato urgente — oferta de retenção personalizada
CLI-02645,0.8957,89.6,8,84.9,0,Month-to-month,1,1,0,1,Crítico,76.04493000000001,🚨 Contato urgente — oferta de retenção personalizada
CLI-02545,0.8955,89.6,8,90.25,0,Month-to-month,1,1,0,1,Crítico,80.81887499999999,🚨 Contato urgente — oferta de retenção personalizada
CLI-01006,0.8949,89.5,10,95.25,0,Month-to-month,1,0,0,1,Crítico,85.239225,🚨 Contato urgente — oferta de retenção personalizada
CLI-03633,0.8937,89.4,5,105.3,0,Month-to-month,0,0,0,1,Crítico,94.10661,🚨 Contato urgente — oferta de retenção personalizada
CLI-01441,0.8936,89.4,8,100.15,1,Month-to-month,1,0,0,1,Crítico,89.49404,🚨 Contato urgente — oferta de retenção personalizada
